UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100002,0,2,52,Pr100258,Android,Pr100258,0,0
U100003,1,3,1021,Pr100079,Windows,Pr100079,1,2
U100004,1,16,341,Pr100069,Windows,Product101,1,0
U100005,1,3,680,Pr100234,Android,Pr100234,1,0
U100006,1,1,55,Pr101111,Android,Pr101111,1,0
U100007,0,0,460,pr100265,Windows,pr100265,0,0
U100008,6,18,394,Pr100962,Android,Pr100962,21,23
U100009,4,11,78,Pr100021,Android,Pr100640,4,4
U100012,2,6,124,Pr100017,"Mac OS X",pr100415,6,14
U100013,3,3,1687,Pr100134,"Mac OS X",Pr100134,5,3
U100014,2,5,155,Pr100126,Windows,Product101,1,2
U100015,1,5,659,Pr100044,Android,Pr100095,3,8
U100016,1,1,114,Pr100172,Android,Pr100172,1,0
U100017,1,1,45,Product101,Windows,Product101,0,0
U100018,5,4,44,Pr100133,Windows,pr100403,7,21
U100019,3,8,317,Pr100017,Windows,Pr100040,5,15
U100020,0,3,162,Pr100017,"mac os x",Pr100558,0,0
U100023,5,3,437,Pr100181,Windows,Pr100181,6,0
U100024,1,1,85,Pr100025,Android,Pr100025,2,1
U100025,0,0,129,Pr100240,Windows,Pr100240,0,0
U100026,3,3,68,pr100153,Windows,Product101,1,2
U100027,6,42,2257,pr100606,Windows,pr101746,15,36
U100028,0,1,126,pr100185,android,pr100185,0,0
U100029,1,2,574,pr100301,"mac os x",pr100301,1,1
U100030,3,6,104,Pr100316,"Mac OS X",Pr100316,2,4
U100031,4,12,413,pr100014,Windows,Pr100097,8,61
U100032,3,10,104,pr100268,Windows,pr100268,4,205
U100033,0,0,83,Pr100172,Android,Pr100172,0,0
U100034,5,84,453,Pr100515,Windows,Pr100812,99,37
U100035,0,0,73,Pr100633,Android,Pr100633,0,0
U100036,2,6,111,pr100123,Windows,pr100123,3,11
U100038,2,11,134,Pr100072,iOS,Pr100072,11,11
U100039,0,2,2256,Pr100047,"Mac OS X",Pr100047,0,0
U100040,3,5,335,Pr100513,Windows,Product101,5,3
U100042,0,0,63,Product101,Android,Product101,0,0
U100043,4,11,446,Pr100017,Windows,Pr100017,14,28
U100044,1,2,74,Product101,Windows,Product101,0,1
U100045,3,5,348,pr100642,Android,pr100642,3,0
U100047,0,2,320,Product101,Windows,Product101,0,0
U100048,0,1,80,pr100080,"mac os x",pr100080,0,0
U100049,1,1,222,pr100025,Android,pr100025,1,1
U100050,5,5,64,Pr100178,Windows,Pr100178,28,21
U100051,3,6,2256,Pr100316,Android,Pr100316,6,0
U100052,0,2,97,pr100069,linux,pr100069,0,0
U100053,0,0,48,Pr100268,Windows,Pr100268,0,0
U100054,0,1,1472,pr101320,Linux,pr101320,0,0
U100056,1,2,93,Pr100272,Android,Pr100272,0,0
U100057,1,1,50,Pr100184,Android,Pr100184,1,0
U100058,5,4,888,Pr100166,Windows,Product101,8,0
U100059,1,1,499,Product101,Android,Product101,0,0
U100061,2,4,57,Pr100025,Android,Pr100025,2,0
U100062,0,0,64,Product101,Windows,Product101,0,0
U100063,2,6,1065,Pr100025,"Mac OS X",Pr100025,1,0
U100065,1,4,654,Pr100047,Android,Pr100119,2,3
U100066,2,2,154,pr100498,Android,pr100498,2,0
U100067,2,2,506,Pr100102,Android,Pr100102,4,25
U100068,1,1,273,Pr100498,Android,Pr100498,1,0
U100069,4,10,1777,pr100035,Windows,Pr100210,8,72
U100070,5,28,585,Pr100044,Windows,pr100390,36,58
U100071,0,11,89,pr100430,Android,Pr101609,0,0
U100072,0,1,66,Product101,Android,Product101,0,0
U100073,2,2,85,pr100178,Windows,pr100178,2,0
U100074,0,1,46,Pr100341,Linux,Pr100341,0,0
U100075,2,2,465,Pr101618,Linux,Pr101618,2,0
U100076,1,3,85,Pr100025,Android,Pr100025,2,0
U100077,0,6,1058,Pr100101,Android,Pr100101,0,0
U100078,3,7,75,pr101686,Android,pr101686,2,1
U100079,3,6,47,Pr100199,"Mac OS X",Pr100199,4,36
U100080,5,9,252,Pr100275,Windows,Pr100275,9,30
U100081,5,36,699,pr100089,Windows,pr100089,47,49
U100082,2,7,130,Pr100001,Windows,Pr100001,4,1
U100083,3,5,138,pr100340,Windows,pr100340,4,4
U100084,2,8,58,Pr100073,Android,Pr100073,7,1
U100085,2,5,67,Pr100994,Windows,Pr100994,2,0
U100086,0,0,378,pr100901,Windows,pr100901,0,0
U100088,2,17,45,Pr100166,Ubuntu,Pr100390,5,3
U100089,7,11,NULL,Pr100962,Android,Pr100962,12,4
U100090,3,13,746,Pr102621,"Mac OS X",pr102725,4,1
U100091,2,13,108,pr100095,Windows,Product101,21,37
U100092,1,5,475,Pr100900,"Mac OS X",Product101,3,42
U100093,1,4,61,pr100059,Windows,Product101,4,28
U100094,0,0,110,pr100274,Windows,pr100274,0,0
U100095,5,15,1146,Pr100370,"Mac OS X",Pr100370,9,8
U100096,7,27,836,pr100098,Windows,pr100648,58,6
U100097,1,1,75,Pr100017,Windows,Pr100017,0,1
U100098,1,15,233,Pr100044,Windows,Pr100044,2,3
U100100,2,5,82,pr100086,Windows,pr100086,2,14
U100101,1,1,1441,pr100438,Windows,pr100438,1,0
U100102,5,19,87,Pr100340,"Mac OS X",Pr100340,32,41
U100103,0,1,44,pr100444,Windows,pr100444,0,0
